2026-06-15 09:01:09 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:13 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:17 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:21 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:25 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:29 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:33 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:37 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:41 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:45 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:49 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:53 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:01:57 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:02:01 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:02:05 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:02:09 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:02:13 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:02:17 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 09:02:17 [WARNING] CONEXAO_ENCERRADA pelo servidor
2026-06-15 10:01:22 [INFO] CONECTADO | localhost:5000
2026-06-15 10:01:22 [INFO] LOGIN_OK | usuario=admin
2026-06-15 10:01:22 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:01:26 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:01:30 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:01:34 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:01:38 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:01:42 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:01:46 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:01:59 [INFO] INICIANDO | host=localhost porta=5000
2026-06-15 10:01:59 [INFO] CONECTADO | localhost:5000
2026-06-15 10:02:02 [INFO] TENTATIVA_LOGIN | usuario=admin
2026-06-15 10:02:08 [WARNING] LOGIN_FALHOU | usuario=admin | motivo=ERRO: Credenciais invalidas. Tentativas restantes: 2
2026-06-15 10:02:08 [ERROR] RUNTIME_ERROR | ERRO: Credenciais invalidas. Tentativas restantes: 2
2026-06-15 10:02:08 [INFO] DESCONECTADO
2026-06-15 10:02:13 [INFO] INICIANDO | host=localhost porta=5000
2026-06-15 10:02:13 [INFO] CONECTADO | localhost:5000
2026-06-15 10:02:15 [INFO] TENTATIVA_LOGIN | usuario=admin
2026-06-15 10:04:12 [INFO] DESCONECTADO
2026-06-15 10:06:37 [INFO] CONECTADO | localhost:5000
2026-06-15 10:06:37 [INFO] LOGIN_OK | usuario=admin
2026-06-15 10:06:38 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:06:42 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:06:46 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:06:48 [INFO] RECEBIDO | Comandos disponíveis:
  /msg <usuario> <texto>  — envia mensagem privada
  /usuarios               — lista usuários onli
2026-06-15 10:06:50 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:06:54 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:06:58 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:07:02 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:07:03 [INFO] RECEBIDO | [Servidor] Usuarios online: admin
2026-06-15 10:07:06 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:07:10 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:07:14 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:07:18 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:07:22 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:07:26 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:07:30 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:07:34 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:07:38 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:07:42 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:07:46 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:07:50 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:07:54 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:07:58 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:08:02 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:08:06 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:08:07 [INFO] RECEBIDO | [Servidor] Uso: /cadastrar <usuario> <senha>
2026-06-15 10:08:10 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:08:14 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:08:18 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:08:22 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:08:26 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:08:30 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:08:34 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:08:38 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:08:42 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
2026-06-15 10:08:46 [INFO] RECEBIDO | [LISTA_USUARIOS]admin
